"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC009060.2",73.0598446851047,1.51444463543096,0.483073205231416,3.13502098446026,0.00171841818730482,0.016978869930321
"AC010132.11",74.8072775590338,1.22309871353994,0.324448149870689,3.76978174795391,0.000163390366095038,0.00353448533086786
"AC010412.1",40.8640438001052,0.769084764871485,0.243205996716019,3.16227714471001,0.00156540502916255,0.0159461673130385
"AC011290.5",43.5583155415025,1.10820496946723,0.331867796090268,3.33929649855451,0.000839908647679316,0.0105236115291142
"AC011933.2",363.287768159638,1.00784729187488,0.295109431949803,3.41516462288577,0.000637434736298445,0.00857850776581023
"AC012314.1",824.353561462245,-0.622172045172874,0.213218916518843,-2.91799646734388,0.00352288341046546,0.0274615463349426
"AC012314.2",824.353561462245,-0.622172045172874,0.213218916518843,-2.91799646734388,0.00352288341046546,0.0274615463349426
"AC012314.3",824.353561462245,-0.622172045172874,0.213218916518843,-2.91799646734388,0.00352288341046546,0.0274615463349426
"AC012314.4",824.353561462245,-0.622172045172874,0.213218916518843,-2.91799646734388,0.00352288341046546,0.0274615463349426
"AC012314.5",824.353561462245,-0.622172045172874,0.213218916518843,-2.91799646734388,0.00352288341046546,0.0274615463349426
"AC012314.6",824.353561462245,-0.622172045172874,0.213218916518843,-2.91799646734388,0.00352288341046546,0.0274615463349426
"AC012513.4",154.788055218463,1.35179559899156,0.321414246099813,4.2057737495922,2.60190431473528e-05,0.00104490986224652
"AC016142.1",26.8551999124238,1.16606768748168,0.361833711792835,3.22266181805995,0.00127005405001517,0.0139363636531727
"AC017081.1",450.006899560331,1.04991573526632,0.278829262498652,3.76544314559307,0.000166253952308879,0.00357458825572671
"AC017081.3",450.006899560331,1.04991573526632,0.278829262498652,3.76544314559307,0.000166253952308879,0.00357458825572671
"AC017083.2",63.9627337113722,1.46848485586115,0.45434969473026,3.23205863873853,0.0012290183281252,0.0136464007090713
"AC018463.4",214.756212194229,0.998458658676272,0.249064440087082,4.00883666221953,6.10186018410228e-05,0.00180756223886522
"AC019097.7",230.25456431925,1.41627840972121,0.275576631078454,5.13932696026756,2.75724268924632e-07,6.73530760305431e-05
"AC022182.2",242.20107024367,1.87943435924634,0.448298566187753,4.19237200606886,2.76052835451879e-05,0.0010849423072537
"AC022405.1",40.8640438001052,0.769084764871485,0.243205996716019,3.16227714471001,0.00156540502916255,0.0159461673130385
"AC026248.1",200.120542552452,0.749778512183851,0.23926265578507,3.13370471344002,0.00172614465720522,0.0170234315944748
"AC068657.2",94.3431450426297,1.88900579903235,0.337979103144639,5.58912010078903,2.28223072915196e-08,1.90722418513025e-05
"AC073063.10",239.887111498363,1.28086705318556,0.29176130286269,4.39011973355621,1.1328826458996e-05,0.000641756634624293
"AC073333.1",1401.10588956199,1.10338425751279,0.27930864531976,3.95041211935854,7.80167404120834e-05,0.00209815746070663
"AC079807.3",79.4568357650715,1.04383918807418,0.301211474795284,3.4654695302814,0.000529306500535701,0.00763335932380187
"AC090498.1",743.783175111726,-2.51318289176498,0.897465259233845,-2.80031217465783,0.00510532081340495,0.0353168577844975
"AC090804.1",576.965496472695,0.864392699411229,0.319681908487174,2.70391497442499,0.00685278216001522,0.043212261769945
"AC092641.2",44.4221574058552,1.20919637557085,0.269612864124874,4.48493575963348,7.29359053801726e-06,0.000480252446847901
"AC092798.2",218.892322211919,0.684230492411588,0.257108263453102,2.66125438063329,0.00778501168528266,0.0469822940094709
"AC104981.1",26.8551999124238,1.16606768748168,0.361833711792835,3.22266181805995,0.00127005405001517,0.0139363636531727
"AC109486.1",757.955468769092,0.980802894920367,0.265154941219503,3.69898026568711,0.000216467429227651,0.00420693983020397
"AC124914.3",95.6332059002295,1.09413728455986,0.29960355947921,3.65195021868818,0.000260256343042979,0.00477728348536003
"AC133644.3",17.9642690955248,1.38065226482333,0.377384469395856,3.65847663798561,0.000253718863460335,0.00468753830379411
"AC144530.1",425.069722703033,0.789262045706082,0.266369147420993,2.96303852509864,0.00304618441148351,0.0249573354414526
"AC243587.1",1450.57334077305,-1.20367867374431,0.338028102924292,-3.56088343936865,0.000369609141887831,0.00603770983013887
"ACAA2",1054.8267172297,-0.664698189414349,0.23891347357682,-2.7821712164786,0.00539965452776146,0.0366862278955055
"ACBD5",3511.79198132034,0.8371387195877,0.190915104069185,4.38487422809843,1.16052811266047e-05,0.000649717821832248
"ACIN1",6994.86882943021,-0.450421449396349,0.126354834408377,-3.56473459448803,0.000364224556889363,0.00597433627509225
"ACKR2",64.2202766571605,1.52940654230531,0.397047986026171,3.85194383583778,0.00011718390343528,0.00281064353284799
"ACKR4",733.297034599768,0.770341636552188,0.271149792018591,2.84101872554404,0.00449696717621272,0.0326338413271963
"ACLY",4674.9071736458,-0.422441615059366,0.15359280009006,-2.75039985475663,0.00595225825865802,0.0392646267681645
"ACMSD",61.7731563449825,1.00487151187104,0.368747491956827,2.72509382108202,0.0064283217385299,0.0413762842667308
"ACOT11",257.303077605096,0.912306621765485,0.192338092830117,4.74324460818731,2.10322053080917e-06,0.000225749214178036
"ACOX2",53.9724869896797,1.24447588934025,0.392579964787137,3.16999337960363,0.00152442410876695,0.0156868476986401
"ACSBG1",56.3494220754938,1.42980737408141,0.344123586926735,4.15492406914211,3.25395584002834e-05,0.00121282419783967
"ACSM2B",32.6500945806525,1.26155477988789,0.43366719832791,2.90903896986461,0.00362541665699877,0.0279710231680401
"ACSM3",227.301526943872,0.818806017167129,0.273440236450435,2.99446060973382,0.00274930552599105,0.0232818523422324
"ACTB",332065.708591356,-0.501799675987529,0.189026801582059,-2.65464829213487,0.00793911357794725,0.0476226843183402
"ADAM10",6115.65229172344,0.300579676725251,0.0974785216400406,3.08354775665559,0.0020454827709022,0.0192092268292467
"ADAM32",143.877099582836,0.847397402817666,0.266989878671917,3.17389335892753,0.00150408941354358,0.0155582616991824
"ADAP1",334.753411687482,1.73994468682881,0.54170801030592,3.21196041728496,0.00131832537884758,0.0142593231460688
"ADGRF1",49.4648791251448,1.33929374134713,0.49362504114665,2.71318030834915,0.00666408350435614,0.0424330867612304
"ADGRG6",232.84091344421,1.94521087060308,0.458381875553408,4.24364699903245,2.19916199482265e-05,0.000946295234520162
"ADGRV1",150.13440622818,1.73548931230678,0.559911623608952,3.09957721741969,0.00193797054570196,0.0184047213603608
"ADI1",250.660284499454,-0.473572282570664,0.150230712583972,-3.15230004854007,0.00161989722879277,0.0163091199524435
"ADIPOR1",978.158168714229,0.521779147263652,0.161032212808515,3.24021596774618,0.00119439198844706,0.0133647329052589
"ADIPOR2",475.100581882562,0.559492420919806,0.204103961718787,2.74121293975994,0.00612128226025288,0.0399974155260474
"ADPRM",315.601861820135,0.660475926194938,0.208050475564486,3.17459464777922,0.00150045947326594,0.0155511067340186
"ADRM1",959.719480577441,-0.592847698991854,0.185293856052112,-3.1995000353661,0.00137666170332008,0.0146800769142486
"AF011889.5",1600.10628556364,0.569779460957431,0.207475944432643,2.74624348627756,0.00602820059898003,0.039611033579102
"AF111168.1",373.41179087143,1.05968334855774,0.242249994885464,4.37433796049722,1.21801557049437e-05,0.000666884525114123
"AFF1",4834.07501230976,0.417319277708151,0.15440025956724,2.70284051903691,0.00687497239943648,0.043334978863935
"AGA",1107.87693272863,0.683502558413612,0.175644216198337,3.8914037319726,9.96659327020683e-05,0.00248820075384189
"AGAP1",337.856246773272,0.794026517806975,0.277480893999639,2.86155384020064,0.00421569893973907,0.03114791426951
"AGBL3",120.02805232857,1.50155915979019,0.289754288766782,5.18218096505473,2.19306279229883e-07,5.90194085018998e-05
"AGFG2",588.411406462581,0.513302671922454,0.179281341277485,2.86311262658385,0.00419501419531774,0.0310239568669097
"AHCY",1943.24567244181,-0.771044761777246,0.226388841724896,-3.40584260205812,0.000659601951569688,0.00878352962810433
"AHSA1",3989.32177802296,-0.797155878801407,0.214328896654988,-3.71931126060251,0.000199766755591539,0.00399016467513579
"AIFM1",2988.53534500696,-0.777717805003426,0.173436065490588,-4.4841757843361,7.31963044068472e-06,0.000480252446847901
"AK9",531.520539050757,0.620672822833379,0.232601221485207,2.66839881093597,0.00762137320858896,0.0463293123300059
"AKAP17A",1119.96517675241,-0.782123799800107,0.272198391126413,-2.87335937792842,0.00406131835481914,0.0303604580215717
"AKAP5",497.042675381041,0.663718806871365,0.210682353299719,3.1503293772647,0.00163086484988729,0.0163580998651361
"AKAP6",118.565781167586,1.07254152628246,0.394945722100933,2.71566816973487,0.00661421749706219,0.042285356227381
"AKAP8",962.191834081892,-0.518257004077222,0.180779182786258,-2.86679581182739,0.00414650445570061,0.0308339851519987
"AKR1B15",64.6363401140748,1.06588147778808,0.364869561022738,2.92126719148726,0.00348610710805702,0.0273831800243841
"AKT2",3818.97942593145,-0.657898164033624,0.19436511124454,-3.38485729162519,0.000712152690686255,0.00928371134869979
"AKTIP",537.442733699868,0.59544259676459,0.143101307815667,4.1609864078363,3.16875947052116e-05,0.00118944593080224
"AL023806.1",170.064630303222,1.04337768461895,0.290574528241965,3.59074035474342,0.000329739994552956,0.00558763247973515
"AL023875.1",241.436397672958,0.986936772126876,0.22121999238294,4.46133625399666,8.14501702776933e-06,0.000517306321467686
"AL133335.1",26.8551999124238,1.16606768748168,0.361833711792835,3.22266181805995,0.00127005405001517,0.0139363636531727
"AL135745.1",410.399799526356,1.04223822258714,0.262128235805988,3.97606240084164,7.00657474570614e-05,0.00196903351880216
"AL136097.1",2035.01047549226,1.24770270691448,0.276601894681209,4.51082487469037,6.45760181109494e-06,0.000451627677120122
"AL356053.1",156.517256711555,0.974777138090078,0.345313402637301,2.8228766408871,0.00475948807995086,0.0338660689348963
"AL590235.1",280.404733146933,1.29722643271999,0.264608604848199,4.90243479974577,9.46560369856052e-07,0.000134191835290843
"AL928654.7",35.3675584897378,2.20427853626696,0.627631738890125,3.51205715020866,0.000444652370163119,0.00683937175877649
"ALDH16A1",383.455515582969,-0.840333265817579,0.221422970128135,-3.79514946137379,0.000147554538999418,0.00331851412214273
"ALDH18A1",4146.010773213,-0.654405387630352,0.148578801623649,-4.40443307173768,1.0606087804625e-05,0.00061237622604304
"ALG10",1785.1107366612,0.733076765222068,0.189618347177585,3.86606452452364,0.000110605686600195,0.00268861688462892
"ALG10B",1049.74236569899,0.681177243352772,0.257225646010904,2.64817001693484,0.00809288135458855,0.0482358692512128
"ALG2",4021.98524693479,0.879772644894631,0.242391773817904,3.62954827648382,0.000283917630738083,0.00503129926435187
"ALG3",729.311433250516,0.904404828418782,0.250977945975622,3.60352310998127,0.000313932820730127,0.00540316889070251
"ALG6",1962.93367661243,0.64177648149355,0.142835177133578,4.49312623383642,7.01851523552911e-06,0.000475130436872551
"ALG9",1610.61368021357,0.504939332189181,0.159934230957765,3.15716860090149,0.00159309205088048,0.0161630131526392
"ALKBH1",219.414048964687,-0.445781705363556,0.168740619547996,-2.6418162180373,0.00824627885620394,0.0489474451135724
"ALKBH2",114.876801072466,-0.924903257622709,0.311694575275839,-2.96733832086811,0.00300390220854069,0.0247233777263132
