"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NCL",38442.0940643738,-1.49314927903121,0.134703509119048,-11.0847095877183,1.48832594150529e-28,2.3631639299221e-24
"A2M",12489.8429190128,0.756672513098707,0.222701771524701,3.39769418050983,0.000679563409551392,0.00256846175121566
"AAAS",2524.31789582513,-0.467235976605815,0.0804495885347823,-5.80781064410051,6.32950419135903e-09,1.39389552774478e-07
"AACS",701.985307405001,-0.449329658565847,0.172734380063278,-2.6012751972204,0.00928779149204408,0.0223950726363972
"AADAT",106.329379306158,1.25449751379457,0.33489927663574,3.74589496399255,0.000179751794280834,0.000834531868301485
"AAED1",246.038587933416,0.492345636842293,0.165941145620523,2.9669895010138,0.00300731228073329,0.00881486143501627
"AAGAB",1345.29489690561,-0.261432641758689,0.10826098493349,-2.41483708945839,0.0157422488862554,0.0345672006383575
"AAK1",2376.0855174526,0.690153293150458,0.139207019756601,4.95774777994077,7.13150606812644e-07,7.94939611837809e-06
"AAMDC",161.819541131976,0.430785984030828,0.130346631316047,3.30492610113042,0.000950014452753077,0.00340120168676739
"AAMP",1147.41079259473,-0.621024660132381,0.16210511566471,-3.830999765713,0.000127623627021772,0.000630101974456373
"AARS",8292.12355127473,-0.735581675611674,0.126229189329249,-5.82735007267633,5.63144025965895e-09,1.26472430612256e-07
"AARS2",793.185325603936,-0.336008223944142,0.132423094756286,-2.53738386466905,0.0111684417222585,0.0260898216369017
"AARSD1",561.062512256063,-0.819645357631605,0.119578984310552,-6.85442648938168,7.15991772578506e-12,4.08939473561206e-10
"AASDH",1417.33906074153,0.291313582573631,0.0978741805620211,2.97640890478803,0.00291645712047228,0.00859615855928324
"AASDHPPT",487.777032366501,-0.351511202931031,0.118433190122911,-2.96801262016358,0.00299732023903841,0.00879206553767816
"AASS",835.183962250353,1.00140480620286,0.199973780515873,5.0076805250145,5.50898740600849e-07,6.37548848634131e-06
"AATF",2877.80548416563,-0.72236445654353,0.0968605598308699,-7.45777701269603,8.79944242387939e-14,8.78726709473944e-12
"ABC14-864958H18.2",71.2950317859433,0.877341617831804,0.230225635830599,3.81079029130081,0.000138523241860468,0.000675098844156079
"ABC7-42404400C24.1",71.8885731021002,0.75071721686879,0.21467020730718,3.49707221270141,0.000470394481033893,0.00188323841902576
"ABCA1",11833.5275823556,0.356124308515105,0.139646133998574,2.55019095994983,0.0107663929314256,0.0253107472557264
"ABCA10",383.42614526694,0.820227082907058,0.246990665978292,3.32088291538575,0.000897331729158435,0.0032440421665705
"ABCA12",761.151752543766,0.945000597016417,0.357195978030404,2.64560816789482,0.00815442114191372,0.0201299594047429
"ABCA13",330.906886723014,1.32717033938208,0.554962900536698,2.39145776789509,0.0167816145094818,0.0364014310357311
"ABCA2",1123.60008577592,0.380090558520914,0.153331578305509,2.47887984146093,0.0131795697025711,0.0299078473256286
"ABCA5",1990.54361801063,0.800393881134298,0.170863062068014,4.68441728391646,2.80757516402829e-06,2.56789622433417e-05
"ABCA8",499.960443783512,1.13288250165115,0.338529725182593,3.34647866163039,0.00081844978560491,0.0030040096384269
"ABCA9",1096.06678850473,0.486126761188223,0.203360508511273,2.39046786786174,0.0168269214939587,0.0364797732770447
"ABCB1",941.35310785784,0.711863496536197,0.247291006687111,2.87864692724914,0.00399385192067853,0.0111605738818257
"ABCB4",1819.48816477854,0.61924011066539,0.268171859129383,2.30911667121131,0.0209371078957391,0.0436558633182594
"ABCB6",411.365090040597,-0.393958677025811,0.142737479071246,-2.76002266250737,0.00577973519931604,0.0151837583545235
"ABCC11",56.2484859674251,1.40726353058749,0.499256907801362,2.81871619320166,0.0048216128893109,0.0130711233492366
"ABCC2",474.244789434342,0.728208580260025,0.305485269282343,2.38377641570331,0.0171360099639279,0.0370285201697396
"ABCC3",1026.3905125815,0.850363394160085,0.194949729677068,4.36196241753555,1.2890101575722e-05,9.22348052362836e-05
"ABCC6",273.008026185452,1.57872906315736,0.41628512446482,3.79242247771162,0.000149184829463029,0.000718908652987823
"ABCC9",1450.95738164476,0.533145374693586,0.205532254445649,2.59397424570444,0.00948735934215549,0.0227991356964618
"ABCD2",305.609251270056,0.689107789306644,0.239316008465209,2.87948889723699,0.00398320322715557,0.0111327760677304
"ABCE1",2932.07229327747,-0.490930924876265,0.108190596365232,-4.53764875478616,5.6884903133954e-06,4.6059076591582e-05
"ABCF1",3963.83965695887,-0.924942913154425,0.11553423499456,-8.00579077879364,1.18701392027028e-15,2.14175079841494e-13
"ABCF2",1739.3680916636,-0.592866745924509,0.104528294038494,-5.67183030564122,1.41279885980186e-08,2.71908124799199e-07
"ABCF3",952.01636380813,-0.292033010206557,0.108115916993471,-2.70111023730386,0.00691084283688727,0.0175873335120046
"ABHD10",187.419356442472,-0.261790833844857,0.108333606195656,-2.4165246873814,0.0156694636167084,0.0344597982418415
"ABHD11",130.821905785613,-0.477937804848021,0.155337891745458,-3.07676253023432,0.00209261938259178,0.00653424003083427
"ABHD12B",140.111637914426,1.00078156976514,0.332308853380807,3.01160068286925,0.00259874205615985,0.00779720830833449
"ABHD13",518.841416973608,0.760656125571048,0.129457373196389,5.87572655608515,4.20992759974039e-09,9.93242651243357e-08
"ABHD14A",73.3295842466467,0.442123261286929,0.149296651541667,2.96137426205797,0.00306269519760628,0.00894581941640775
"ABHD14B",163.616420868338,0.329052058834268,0.124662101980307,2.63955166491777,0.00830157685968837,0.0204328689161575
"ABHD17C",125.123057134427,0.922975138921342,0.207075540545623,4.45719053293013,8.30407909041977e-06,6.36352161185739e-05
"ABHD4",185.041563494955,0.414807541558338,0.172141956299424,2.4096829760481,0.0159663876057942,0.0349530266654902
"ABHD5",558.287938441197,0.528342294543912,0.139427985305756,3.78935615676648,0.000151038238582411,0.000725842963744408
"ABI2",528.989712875061,0.304688630790356,0.123147780363513,2.474170706861,0.0133545868767011,0.0302143246549245
"ABI3",154.192503302734,-0.433616486537384,0.184197033701403,-2.35409049659458,0.0185680899809147,0.0395206612221132
"ABI3BP",13237.7963047593,0.836367041652246,0.233143047140703,3.58735571105191,0.00033404847529599,0.00141139480860823
"ABL2",1500.41061764464,0.286683890736724,0.104636071767105,2.73981893524074,0.00614730397067598,0.015956660527447
